date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:54	79474/79474	------	200	untouched ('OK')	text/html	date:Mon,%2024%20Mar%202025%2002:55:18%20GMT	https://mlgfix.com/	/Users/devicecare/Desktop/static-site/mlgfix.com/index.html	(from )
03:29:54	20669/20669	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202024%2000:53:11%20GMT	https://mlgfix.com/wp-content/plugins/oxygen/component-framework/oxygen.css?ver=4.9.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/oxygen/component-framework/oxygen5859.css	(from https://mlgfix.com/)
03:29:55	7527/7527	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2012:17:20%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen04d4.css	(from https://mlgfix.com/)
03:29:56	9566/9566	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2012:17:20%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-blocktheme.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-blocktheme04d4.css	(from https://mlgfix.com/)
03:29:57	7947/7947	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Dec%202024%2017:19:16%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min04d4.css	(from https://mlgfix.com/)
03:29:58	87553/87553	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2021:44:24%20GMT	https://mlgfix.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://mlgfix.com/)
03:29:59	4035/4035	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Dec%202024%2022:23:56%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min04d4.js	(from https://mlgfix.com/)
03:30:00	3804/3804	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Jan%202025%2013:53:44%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min04d4.js	(from https://mlgfix.com/)
03:30:01	21555/21555	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Jan%202025%2013:53:44%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/js/flexslider/jquery.flexslider.min.js?ver=2.7.2-wc.9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/js/flexslider/jquery.flexslider.mind207.js	(from https://mlgfix.com/)
03:30:02	9749/9749	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2018%20Jul%202023%2018:53:36%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/js/photoswipe/photoswipe-ui-default.min.js?ver=4.1.1-wc.9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/js/photoswipe/photoswipe-ui-default.min9799.js	(from https://mlgfix.com/)
03:30:03	14976/14976	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Sep%202024%2010:42:36%20GMT	https://mlgfix.com/wp-content/uploads/2024/09/mlg-favicxon-150x150.png	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/uploads/2024/09/mlg-favicxon-150x150.png	(from https://mlgfix.com/)
03:30:05	45954/45954	------	200	untouched ('')	application/rss+xml	etag:%226a0ac16053c1d4ff4eef7e1e1313991f%22	https://mlgfix.com/feed/	/Users/devicecare/Desktop/static-site/mlgfix.com/feed/index.html	(from https://mlgfix.com/)
03:30:05	768/768	------	200	untouched ('')	application/rss+xml	etag:%226a0ac16053c1d4ff4eef7e1e1313991f%22	https://mlgfix.com/comments/feed/	/Users/devicecare/Desktop/static-site/mlgfix.com/comments/feed/index.html	(from https://mlgfix.com/)
03:30:05	479/479	------	200	untouched ('OK')	text/css	date:Mon,%2024%20Mar%202025%2001:49:29%20GMT	http://mlgfix.com/wp-content/uploads/fonts/ma-customfonts.css?ver=74a6c970	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/uploads/fonts/ma-customfonts39ea.css	(from https://mlgfix.com/)
03:30:05	1591/1591	------	200	untouched ('OK')	text/css	date:Tue,%2011%20Mar%202025%2019:13:58%20GMT	https://mlgfix.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.19	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainaaac.css	(from https://mlgfix.com/)
03:30:05	18143/18143	------	200	untouched ('OK')	text/css	date:Mon,%2024%20Feb%202025%2012:17:20%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout04d4.css	(from https://mlgfix.com/)
03:30:05	45675/45675	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Sep%202024%2010:42:36%20GMT	https://mlgfix.com/wp-content/uploads/2024/09/mlg-favicxon-300x300.png	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/uploads/2024/09/mlg-favicxon-300x300.png	(from https://mlgfix.com/)
