date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:18	79474/-1	---M--	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2002:55:18%20GMT	https://mlgfix.com/	/Users/devicecare/Desktop/static-site/mlgfix.com/index.html	(from )
02:55:20	479/479	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2001:49:29%20GMT	http://mlgfix.com/wp-content/uploads/fonts/ma-customfonts.css?ver=74a6c970	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/uploads/fonts/ma-customfonts39ea.css	(from https://mlgfix.com/)
02:55:20	768/768	---M--	200	added ('OK')	application/rss+xml	etag:%226a0ac16053c1d4ff4eef7e1e1313991f%22	https://mlgfix.com/comments/feed/	/Users/devicecare/Desktop/static-site/mlgfix.com/comments/feed/index.html	(from https://mlgfix.com/)
02:55:20	45954/-1	---M--	200	added ('OK')	application/rss+xml	etag:%226a0ac16053c1d4ff4eef7e1e1313991f%22	https://mlgfix.com/feed/	/Users/devicecare/Desktop/static-site/mlgfix.com/feed/index.html	(from https://mlgfix.com/)
02:55:20	1591/1591	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Mar%202025%2019:13:58%20GMT	https://mlgfix.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.19	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainaaac.css	(from https://mlgfix.com/)
02:55:21	20669/20669	URF---	200	added ('OK%20(cached)')	text/css		https://mlgfix.com/wp-content/plugins/oxygen/component-framework/oxygen.css?ver=4.9.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/oxygen/component-framework/oxygen5859.css	(from https://mlgfix.com/)
02:55:22	18143/18143	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2012:17:20%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout04d4.css	(from https://mlgfix.com/)
02:55:23	7527/7527	URF---	200	added ('OK%20(cached)')	text/css		https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen04d4.css	(from https://mlgfix.com/)
02:55:24	85777/85777	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2012:17:20%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce04d4.css	(from https://mlgfix.com/)
02:55:25	9566/9566	URF---	200	added ('OK%20(cached)')	text/css		https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-blocktheme.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/woocommerce-blocktheme04d4.css	(from https://mlgfix.com/)
02:55:26	3287/3287	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2022:38:50%20GMT	https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min04d4.css	(from https://mlgfix.com/)
02:55:27	7947/7947	URF---	200	added ('OK%20(cached)')	text/css		https://mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=9.7.1	/Users/devicecare/Desktop/static-site/mlgfix.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min04d4.css	(from https://mlgfix.com/)
